title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,id,type
AZUR LANE,,,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,true,true,"[""Action/Adventure"",""Fan Service""]","[""Toho""]",/shows/azur-lane/,azur-lane,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R15""]",959890,"[""Uncut"",""Simulcast""]","[""episode""]",1,AZL,Show
Absolute Duo,Absolute Duo,Absolute Duo,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,,false,true,false,false,false,true,,"[""Action/Adventure"",""Fan Service""]","[""Kadokawa Pictures""]",/shows/absolute-duo/,absolute-duo,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA"",""CRRBR|A16"",""RTC|C"",""OFLC|MA15+"",""FVLB|R16""]",73224,"[""Uncut"",""Simulcast""]","[""episode""]",1,ABD,Show
Accel World,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Fantasy""]","[""Viz""]",/shows/accel-world-2/,accel-world-2,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|PG"",""FVLB|PG"",""OFLC|PG"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1403801,"[""Uncut""]","[""episode"",""movie""]",1,AWL,Show
Ace Attorney,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Drama""]","[""NTV Nippon Television Network Corporation""]",/shows/ace-attorney/,ace-attorney,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""NCS|M"",""OFLC|M"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|15""]",532271,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,ACA,Show
Actors: Songs Connection,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Slice of Life"",""Comedy""]","[""Pony Canyon""]",/shows/actors-songs-connection/,actors-songs-connection,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",961444,"[""Simulcast"",""Uncut""]","[""episode""]",1,ACT,Show
Adachi and Shimamura,Adachi and Shimamura,Adachi and Shimamura,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Romance"",""Slice of Life""]","[""Pony Canyon""]",/shows/adachi-and-shimamura/,adachi-and-shimamura,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1158134,"[""Uncut"",""Simulcast""]","[""episode""]",1,ASH,Show
Aesthetica of a Rogue Hero,,,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Showgate""]",/shows/aesthetica-of-a-rogue-hero/,aesthetica-of-a-rogue-hero,2012,2012,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|R18+"",""FVLB|R18+""]",21640,"[""Uncut"",""Simulcast""]","[""episode""]",1,ARH,Show
Africa Salaryman,Temporada 1,Temporada 1,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Comedy"",""Slice of Life""]","[""Kadokawa""]",/shows/africa-salaryman/,africa-salaryman,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",961366,"[""Simulcast"",""Uncut""]","[""episode""]",1,AFS,Show
Afro Samurai,,,true,-,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,,"[""Action/Adventure"",""Sci Fi""]","[""GDH GONZO DIGIMATION""]",/shows/afro-samurai/,afro-samurai,2007,2007,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|R16""]",36855,"[""Uncut""]","[""episode"",""movie""]",1,AFR,Show
After School Dice Club,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Slice of Life"",""Comedy""]","[""Asahi BC""]",/shows/after-school-dice-club/,after-school-dice-club,2019,2019,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""DJCTQ|12"",""RTC|B"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",959420,"[""Uncut"",""Simulcast""]","[""episode""]",1,ASD,Show
